distance_km,athlete_gender,athlete_tier,avg_speed,total_athletes
52.464484,F,Average,6.9111492537313435,67
52.464484,F,Elite,10.757875,8
52.464484,M,Average,7.13542578125,256
52.464484,M,Elite,10.856275862068966,29
52.5,F,Average,7.2443765112262515,579
52.5,F,Elite,10.22236923076923,65
52.5,M,Average,7.802585261353899,2334
52.5,M,Elite,11.351766283524904,261
52.6,F,Average,6.101696707105719,577
52.6,F,Elite,8.706553846153847,65
52.6,M,Average,6.796180216259512,2497
52.6,M,Elite,9.577769784172661,278
52.625418,F,Average,6.443,2
52.625418,F,Elite,7.33,1
52.625418,M,Average,7.2674722222222226,36
52.625418,M,Elite,9.0532,5
52.7,F,Average,5.658,141
52.7,F,Elite,8.7835625,16
52.7,M,Average,5.707641390205371,633
52.7,M,Elite,9.069408450704225,71
52.786351999999994,F,Average,6.563825842696629,178
52.786351999999994,F,Elite,8.8383,20
52.786351999999994,M,Average,7.1354752688172045,465
52.786351999999994,M,Elite,10.051326923076923,52
52.8,F,Average,5.392994736842105,190
52.8,F,Elite,8.9205,22
52.8,M,Average,5.834527426160338,711
52.8,M,Elite,9.954425,80
52.9,F,Average,8.448368932038836,206
52.9,F,Elite,11.322260869565216,23
52.9,M,Average,8.586208045977012,870
52.9,M,Elite,12.057154639175259,97
53.0,F,Average,6.0022726251404315,8011
53.0,F,Elite,9.317530864197531,891
53.0,M,Average,6.563037392839132,39660
53.0,M,Elite,10.39749659709619,4408
53.1,F,Average,5.957522988505747,174
53.1,F,Elite,9.15025,20
53.1,M,Average,6.682213855421686,664
53.1,M,Elite,10.521743243243243,74
53.10822,F,Average,7.651832069339111,2769
53.10822,F,Elite,11.000292207792208,308
53.10822,M,Average,8.372090104085753,6437
53.10822,M,Elite,12.486573221757322,717
53.2,F,Average,7.147630136986302,73
53.2,F,Elite,10.651,9
53.2,M,Average,7.221916417910448,335
53.2,M,Elite,11.456842105263158,38
53.269154,F,Average,8.718857142857143,21
53.269154,F,Elite,11.293999999999999,3
53.269154,M,Average,9.626018348623854,109
53.269154,M,Elite,13.030153846153846,13
53.3,F,Average,5.909275,120
53.3,F,Elite,8.500333333333334,15
53.3,M,Average,6.189247863247863,468
53.3,M,Elite,9.497037735849057,53
53.38,F,Average,6.4785,4
53.38,F,Elite,7.383,1
53.38,M,Average,8.055176470588234,17
53.38,M,Elite,11.089500000000001,2
53.4,F,Average,5.248888888888889,18
53.4,F,Elite,8.537,3
53.4,M,Average,5.710983739837398,123
53.4,M,Elite,10.570000000000002,14
53.430088000000005,F,Average,8.398463414634145,41
53.430088000000005,F,Elite,11.8866,5
53.430088000000005,M,Average,9.393060975609757,82
53.430088000000005,M,Elite,13.4054,10
53.5,F,Average,7.173794871794873,117
53.5,F,Elite,10.816384615384615,13
53.5,M,Average,7.313728782287823,1084
53.5,M,Elite,11.106206611570249,121
53.591021999999995,F,Average,6.627440476190476,84
53.591021999999995,F,Elite,9.1765,10
53.591021999999995,M,Average,7.2010145631067966,206
53.591021999999995,M,Elite,9.629652173913044,23
53.6,F,Average,6.873944444444444,36
53.6,F,Elite,9.402,4
53.6,M,Average,8.191158620689656,145
53.6,M,Elite,11.991823529411764,17
53.7,F,Average,6.644191964285715,448
53.7,F,Elite,9.78804,50
53.7,M,Average,6.972146747352496,1322
53.7,M,Elite,10.538251700680272,147
53.751956,F,Average,7.019,4
53.751956,F,Elite,9.838,1
53.751956,M,Average,7.187794117647059,34
53.751956,M,Elite,9.60925,4
53.8,F,Average,6.500164772727273,176
53.8,F,Elite,9.99335,20
53.8,M,Average,7.2409877216916785,733
53.8,M,Elite,11.743512195121951,82
53.9,F,Average,5.925349206349207,63
53.9,F,Elite,8.522,8
53.9,M,Average,6.306105849582172,359
53.9,M,Elite,9.135625000000001,40
53.91289,F,Average,7.946059375,320
53.91289,F,Elite,11.267305555555556,36
53.91289,M,Average,8.841657676348548,482
53.91289,M,Elite,12.842074074074073,54
53.98,F,Average,7.028999999999999,5
53.98,F,Elite,8.717,1
53.98,M,Average,8.197909090909091,22
